implementation,n_features,n_samples,throughput,time_elapsed
cython,2.0,1000.0,0.00018306254415742488,0.17480364510001323
scipy,2.0,1000.0,0.011674516380385013,0.0027410129000088545
cython,10.0,1000.0,0.0008105452262201884,0.1973979919000044
scipy,10.0,1000.0,0.028142964005664062,0.0056852576000096635
cython,100.0,1000.0,0.008234815979405468,0.1942969951000066
scipy,100.0,1000.0,0.028437945021623282,0.056262855800002856
cython,1000.0,1000.0,0.02123959596179992,0.7533099983999932
scipy,1000.0,1000.0,0.024473845296973735,0.6537591377999945
cython,2.0,10000.0,1.9116431294810932e-05,16.739526068699995
scipy,2.0,10000.0,0.0006737113144289194,0.47498089039999625
cython,10.0,10000.0,8.430475175122308e-05,18.978764147499994
scipy,10.0,10000.0,0.0018815655805795618,0.8503556912999898
cython,100.0,10000.0,0.0007938798761634116,20.15418261680004
scipy,100.0,10000.0,0.003019217495796271,5.2993863549999904
cython,1000.0,10000.0,0.0017588221464882687,90.96997119320001
scipy,1000.0,10000.0,0.0016447922416448493,97.2767234359
